combat_type,gac_format,leader,team_units,unit_count,times_seen,total_counter_seen,avg_counter_win_percent,source_notes
ships,5v5,CAPITALFINALIZER,"['CAPITALFINALIZER', 'COMMANDSHUTTLE', 'FIRSTORDERTIEECHELON', 'TIEFIGHTERFIRSTORDER', 'TIEFIGHTERFOSF', 'TIESILENCER']",6,1332,160668.0,97.711,counter_results.csv
characters,5v5,DARTHTRAYA,"['DARTHTRAYA', 'DARTHNIHILUS', 'DARTHSION', 'DARTHTALON', 'SAVAGEOPRESS']",5,920,36248.0,95.425,counter_results.csv
characters,5v5,SUPREMELEADERKYLOREN,"['SUPREMELEADERKYLOREN', 'DARKREY', 'FOSITHTROOPER', 'GENERALHUX', 'KYLORENUNMASKED']",5,552,26473.0,73.667,counter_results.csv
characters,5v5,GREATMOTHERS,"['GREATMOTHERS', 'DEATHTROOPERPERIDEA', 'MORGANELSBETH', 'NIGHTSISTERSPIRIT', 'NIGHTTROOPER']",5,503,95448.0,97.1,"counter_results.csv, defense_teams.csv"
characters,5v5,DARTHMALGUS,"['DARTHMALGUS', 'BASTILASHANDARK', 'DARTHMALAK', 'DARTHREVAN', 'SITHMARAUDER']",5,489,89124.0,94.698,"counter_results.csv, defense_teams.csv"
characters,5v5,HERASYNDULLAS3,"['HERASYNDULLAS3', 'CAPTAINREX', 'CHOPPERS3', 'KANANJARRUSS3', 'SABINEWRENS3']",5,483,13501.0,99.211,"counter_results.csv, defense_teams.csv"
characters,5v5,GRANDMOFFTARKIN,"['GRANDMOFFTARKIN', 'APPO', 'DISGUISEDCLONETROOPER', 'OPERATIVE', 'SCORCH']",5,389,5344.0,100.0,counter_results.csv
ships,5v5,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'EMPERORSSHUTTLE', 'GAUNTLETSTARFIGHTER', 'SCYTHE', 'TIEBOMBERIMPERIAL', 'TIEDEFENDER']",6,363,45048.0,96.933,"counter_results.csv, defense_teams.csv"
characters,5v5,JABBATHEHUTT,"['JABBATHEHUTT', 'BOUSHH', 'EMBO', 'KRRSANTAN', 'UNDERCOVERLANDO']",5,360,207620.0,90.375,"counter_results.csv, defense_teams.csv"
characters,5v5,QUIGONJINN,"['QUIGONJINN', 'ANAKINKNIGHT', 'KIADIMUNDI', 'KITFISTO', 'LUMINARAUNDULI']",5,346,36100.0,85.0,counter_results.csv
characters,5v5,PHASMA,"['PHASMA', 'FIRSTORDEREXECUTIONER', 'FIRSTORDERTIEPILOT', 'FIRSTORDERTROOPER', 'KYLOREN']",5,322,2530.0,100.0,counter_results.csv
ships,5v5,CAPITALSTARDESTROYER,"['CAPITALSTARDESTROYER', 'SCYTHE', 'TIEADVANCED', 'TIEDEFENDER', 'TIEFIGHTERIMPERIAL', 'TIEINTERCEPTOR']",6,312,22320.0,97.0,counter_results.csv
characters,5v5,FINN,"['FINN', 'EPIXFINN', 'EPIXPOE', 'ROSETICO', 'ZORIIBLISS_V2']",5,305,35716.0,97.369,"counter_results.csv, defense_teams.csv"
characters,5v5,MAJORPARTAGAZ,"['MAJORPARTAGAZ', 'DEDRAMEERO', 'DIRECTORKRENNIC', 'IMPERIALPROBEDROID', 'KXSECURITYDROID']",5,253,34375.0,88.055,"counter_results.csv, defense_teams.csv"
characters,5v5,DARTHREVAN,"['DARTHREVAN', 'BASTILASHANDARK', 'DARTHMALAK', 'DARTHMALGUS', 'SITHMARAUDER']",5,253,736.0,100.0,counter_results.csv
characters,5v5,ADMIRALRADDUS,"['ADMIRALRADDUS', 'BISTAN', 'CASSIANANDOR', 'JYNERSO', 'K2SO']",5,226,14720.0,98.941,"counter_results.csv, defense_teams.csv"
characters,5v5,QUEENAMIDALA,"['QUEENAMIDALA', 'GRANDMASTERYODA', 'MASTERQUIGON', 'PADAWANOBIWAN', 'SHAAKTI']",5,225,67943.0,85.703,"counter_results.csv, defense_teams.csv"
characters,5v5,VEERS,"['VEERS', 'ADMIRALPIETT', 'DARKTROOPER', 'MOFFGIDEONS1', 'RANGETROOPER']",5,184,322.0,100.0,counter_results.csv
ships,5v5,CAPITALLEVIATHAN,"['CAPITALLEVIATHAN', 'FURYCLASSINTERCEPTOR', 'SITHBOMBER', 'SITHFIGHTER', 'SITHINFILTRATOR', 'SITHSUPREMACYCLASS', 'TIEDAGGER']",7,183,120406.0,87.267,counter_results.csv
characters,5v5,GLREY,"['GLREY', '50RT', 'BENSOLO', 'CALKESTIS', 'GENERALKENOBI']",5,123,31115.0,76.674,"counter_results.csv, defense_teams.csv"
characters,5v5,GLLEIA,"['GLLEIA', 'ADMIRALRADDUS', 'CAPTAINDROGAN', 'JYNERSO', 'R2D2_LEGENDARY']",5,101,22219.0,83.818,counter_results.csv
ships,5v5,CAPITALMONCALAMARICRUISER,"['CAPITALMONCALAMARICRUISER', 'BWINGREBEL', 'RAVENSCLAW', 'UWINGROGUEONE', 'UWINGSCARIF', 'XWINGRED2', 'XWINGRED3']",7,99,58467.0,90.0,counter_results.csv
characters,5v5,HOTHLEIA,"['HOTHLEIA', 'ADMINISTRATORLANDO', 'BIGGSDARKLIGHTER', 'HOTHHAN', 'WEDGEANTILLES']",5,61,135.0,100.0,counter_results.csv
characters,5v5,CC2224,"['CC2224', 'CAPTAINREX', 'KIX']",3,50,28583.0,64.76,counter_results.csv
characters,5v5,LORDVADER,"['LORDVADER', 'APPO', 'DISGUISEDCLONETROOPER', 'OPERATIVE', 'SCORCH']",5,49,35513.0,66.239,"counter_results.csv, defense_teams.csv"
characters,5v5,BAYLANSKOLL,"['BAYLANSKOLL', 'MARROK', 'SHINHATI']",3,34,57567.0,70.529,counter_results.csv
characters,5v5,GLHONDO,"['GLHONDO', 'CAPTAINSILVO', 'VANE']",3,33,65055.0,56.182,counter_results.csv
characters,5v5,THIRDSISTER,"['THIRDSISTER', 'GRANDINQUISITOR', 'SEVENTHSISTER']",3,33,39861.0,86.758,counter_results.csv
characters,5v5,EMPERORPALPATINE,"['EMPERORPALPATINE', 'MARAJADE', 'VADERDUELSEND']",3,32,34795.0,86.594,counter_results.csv
characters,5v5,CASSIANUNDERCOVER,"['CASSIANUNDERCOVER', 'CINTA', 'VEL']",3,32,17572.0,91.281,counter_results.csv
characters,5v5,HOTHLEIA,"['HOTHLEIA', 'HOTHHAN', 'PRINCESSLEIA', 'STORMTROOPERHAN', 'STORMTROOPERLUKE']",5,32,45.0,100.0,counter_results.csv
characters,5v5,GLAHSOKATANO,"['GLAHSOKATANO', 'EZRAEXILE', 'GENERALSYNDULLA', 'HUYANG', 'PADAWANSABINE']",5,31,16968.0,63.036,"counter_results.csv, defense_teams.csv"
characters,5v5,AURRA_SING,"['AURRA_SING', 'BOSSK', 'GREEFKARGA', 'THEMANDALORIAN', 'ZAMWESELL']",5,30,85.0,100.0,counter_results.csv
characters,5v5,GLREY,"['GLREY', 'AMILYNHOLDO', 'BB8', 'BENSOLO', 'REYJEDITRAINING']",5,28,6843.0,96.125,counter_results.csv
